,group,names,scores,logfoldchanges,pvals,pvals_adj
4282,untreated,PDIA6,17.583134,1.2675109,3.3172733515304805e-69,1.2488760710995062e-67
4283,untreated,MARCH5,17.582458,3.3140192,3.356952383805766e-69,1.2605486315624131e-67
4284,untreated,PLBD,17.547272,2.777924,6.240634225399762e-69,2.3313341018897e-67
4285,untreated,JUN,17.486134,1.8834977,1.8274563503435106e-68,6.7746417559163e-67
4286,untreated,PCBD,17.429914,0.9156401,4.891943059123159e-68,1.804307526273547e-66
4287,untreated,KLC3,17.420341,2.5776281,5.783033875869635e-68,2.1275708426363932e-66
4288,untreated,RIPK2,17.396816,2.6341808,8.721723513101588e-68,3.2006082346563707e-66
4289,untreated,CD15,17.377672,1.3897151,1.2179712937048438e-67,4.4583271637578814e-66
4290,untreated,INO80B,17.367292,2.7367883,1.459541040600462e-67,5.329158392463798e-66
4291,untreated,PPP2CA,17.331228,2.119875,2.734262280938575e-67,9.958471044260494e-66
4292,untreated,SNAPC2,17.330688,2.3492,2.760021833845369e-67,1.0027159322360225e-65
4293,untreated,C15orf6,17.304737,2.4137936,4.332567895948069e-67,1.5700966749106568e-65
4294,untreated,RPUSD,17.28593,2.8601532,6.004521802221757e-67,2.1705898216389698e-65
4295,untreated,DGCR6L,17.269886,1.5410836,7.929801397248254e-67,2.8594509653799413e-65
4296,untreated,TP53RK,17.263954,3.8925169,8.78807358637579e-67,3.1610961722082423e-65
4297,untreated,SNHG7,17.229239,2.0751498,1.602445456317385e-66,5.735649598818777e-65
4298,untreated,C1orf35,17.21077,2.4237397,2.2048245423090215e-66,7.872361240499926e-65
4299,untreated,NAA10,17.20868,1.5074447,2.2858341395193122e-66,8.141603361640845e-65
4300,untreated,NCOR,17.20504,1.5335557,2.434094947049724e-66,8.648476227512613e-65
4301,untreated,RPL17,17.15927,0.68399787,5.358333616083762e-66,1.8945816084897626e-64
4302,untreated,TMEM54,17.14154,2.3109446,7.269801884993242e-66,2.5641932279786843e-64
4303,untreated,ALG3,17.0924,1.6936554,1.6906876953206404e-65,5.948928229636694e-64
4304,untreated,ANKRD10,17.083704,2.044794,1.962527182086122e-65,6.888754833351577e-64
4305,untreated,PPP1R2,17.08256,2.4872332,2.0014580289790548e-65,7.008479054728583e-64
4306,untreated,MAGEF,17.050741,2.9874687,3.451237549086916e-65,1.2056101938300737e-63
4307,untreated,RRAGA,17.048113,2.0158644,3.609999778914352e-65,1.2580459661195051e-63
4308,untreated,SH3YL,17.040901,1.3483205,4.083950718020921e-65,1.4198079386191394e-63
4309,untreated,SAYSD,17.038204,2.225772,4.276634340348694e-65,1.4832470222899097e-63
4310,untreated,HSPA8,17.03672,1.3664371,4.3864448358152295e-65,1.5177099131920695e-63
4311,untreated,IMP3,17.03389,2.9168096,4.603945517204149e-65,1.5891813837532234e-63
4312,untreated,MALSU,17.021688,1.6305906,5.671081860559993e-65,1.952894824589048e-63
4313,untreated,SCYL,16.989468,1.7492287,9.827669548761489e-65,3.376257538595791e-63
4314,untreated,C2orf82,16.980907,7.484258,1.1371500312536258e-64,3.8882504127476917e-63
4315,untreated,UBE2F,16.943766,2.2250452,2.139805743653548e-64,7.299450015674497e-63
4316,untreated,CLPTM,16.940598,2.0141296,2.258219942367701e-64,7.685351803861224e-63
4317,untreated,RPL3,16.939789,0.51196444,2.2894857219201685e-64,7.773552923117731e-63
4318,untreated,CBR,16.938507,1.7594779,2.3398744417968353e-64,7.926120137107601e-63
4319,untreated,MTMR14,16.932777,2.8257687,2.5791750537522448e-64,8.716412065378516e-63
4320,untreated,LSM2,16.926172,1.1821957,2.8854866391116476e-64,9.728977224958344e-63
4321,untreated,SPG2,16.921858,1.6920832,3.1048307620489785e-64,1.044430570233698e-62
4322,untreated,MOB4,16.921183,1.9251871,3.140573072176721e-64,1.0540140389115959e-62
4323,untreated,PHF14,16.8864,1.8503281,5.665575973925049e-64,1.8970541486884519e-62
4324,untreated,C1orf43,16.873121,0.716409,7.094669479164392e-64,2.370108893591194e-62
4325,untreated,BGN,16.871975,2.4464383,7.233667262618713e-64,2.4110012078067692e-62
4326,untreated,ARRDC,16.866852,1.85971,7.889007435520059e-64,2.6234108936608122e-62
4327,untreated,DEK,16.855257,1.560699,9.598859455634427e-64,3.1847174796639157e-62
